regime,entry_lookback,exit_lookback,position_size_pct,don_final_eq,don_return_pct,don_apr_pct,don_dd_pct,don_sharpe,don_trades,trend_fast_apr_pct,trend_slow_apr_pct,best_trend_apr_pct,bh_apr_pct,don_vs_best_trend_pp,don_vs_bh_pp,runtime_s
bear,28,20,0.25,8944.82958014762,-10.551704198523804,-10.233654843268935,11.473278949126591,-1.2664079207103944,8,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,39.580023042465214,65.11602683412488,0.028
bear,28,20,0.5,7973.604343791993,-20.263956562080065,-19.687150157878197,21.918135872094254,-1.2320521079997622,8,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,30.126527727855954,55.662531519515625,0.028
bear,28,20,1.0,6265.216164629044,-37.34783835370956,-36.40841738824741,39.9877153859435,-1.157766298433303,8,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,13.405260497486744,38.94126428914641,0.029
bear,55,10,0.25,9225.936256838959,-7.740637431610409,-7.503739440980118,8.275054022813782,-2.339938285235066,6,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,42.30993844475403,67.8459422364137,0.033
bear,55,10,0.5,8492.0619851464,-15.079380148536004,-14.63640754699631,16.057527360448642,-2.3456617714812897,6,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,35.17727033873784,60.71327413039751,0.032
bear,55,10,1.0,7140.691602636084,-28.593083973639153,-27.8235098990948,30.219334924853214,-2.357914725556531,6,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,21.99016798663935,47.526171778299016,0.033
bear,55,12,0.25,9225.936256838959,-7.740637431610409,-7.503739440980118,8.275054022813782,-2.339938285235066,6,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,42.30993844475403,67.8459422364137,0.032
bear,55,12,0.5,8492.0619851464,-15.079380148536004,-14.63640754699631,16.057527360448642,-2.3456617714812897,6,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,35.17727033873784,60.71327413039751,0.032
bear,55,12,1.0,7140.691602636084,-28.593083973639153,-27.8235098990948,30.219334924853214,-2.357914725556531,6,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,21.99016798663935,47.526171778299016,0.032
bear,55,20,0.25,8933.850355030503,-10.661496449694974,-10.340332425479426,11.178993831005974,-2.913458029859317,6,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,39.47334546025473,65.00934925191439,0.034
bear,55,20,0.5,7946.0873556901315,-20.539126443098688,-19.95550327593335,21.45438627118019,-2.9228803507337893,6,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,29.858174609800802,55.394178401460465,0.033
bear,55,20,1.0,6193.788937054012,-38.06211062945988,-37.11045112698369,39.4727100098875,-2.941777018076145,6,-64.52522514245072,-49.81367788573415,-49.81367788573415,-75.34968167739382,12.70322675875046,38.23923055041013,0.034
crab,20,10,0.25,10657.583484092227,6.575834840922279,7.560121863213354,5.699017433492191,0.983839368816322,16,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-50.43565901835354,-61.385704297490435,0.022
crab,20,10,0.5,11261.268786735625,12.612687867356254,14.56025186608283,10.95557784388503,0.9850684100234561,16,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-43.435529015484065,-54.38557429462096,0.021
crab,20,10,1.0,12295.86623641692,22.958662364169193,26.682279426011178,20.393007433628753,0.9785961785610452,16,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-31.313501455555716,-42.26354673469261,0.024
crab,20,12,0.25,10540.308990984584,5.403089909845837,6.206775769775774,6.721676481266019,0.8116022883892613,16,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-51.78900511179112,-62.739050390928014,0.023
crab,20,12,0.5,11021.28898158477,10.212889815847692,11.770872082823281,12.824705720877047,0.8123723147793569,16,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-46.22490879874361,-57.17495407788051,0.023
crab,20,12,1.0,11802.801797647295,18.028017976472952,20.88604592736434,23.534067285982015,0.806200878583801,16,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-37.10973495420255,-48.05978023333945,0.022
crab,20,20,0.25,10427.066342719105,4.270663427191046,4.902018047178869,5.950327964560775,0.624635436225637,13,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-53.09376283438802,-64.04380811352492,0.023
crab,20,20,0.5,10802.798711765252,8.027987117652513,9.23888278524525,11.160858520838367,0.6351473267842246,13,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-48.75689809632164,-59.706943375458536,0.023
crab,20,20,1.0,11396.109867281133,13.961098672811323,16.131344016595285,20.39237622711713,0.6464863589132219,13,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-41.86443686497161,-52.8144821441085,0.023
crab,28,10,0.25,10599.409873470417,5.994098734704156,6.888528993281051,3.4866739411589402,0.9499901202024913,14,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-51.107251888285845,-62.05729716742274,0.023
crab,28,10,0.5,11170.292965104985,11.702929651049843,13.501784077403078,6.727977910740879,0.9641019758278652,14,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-44.493996804163814,-55.44404208330071,0.023
crab,28,10,1.0,12216.500667316777,22.165006673167763,25.746992116623034,12.964031522202472,0.9843094402071942,14,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-32.24878876494386,-43.198834044080755,0.023
crab,28,12,0.25,10483.827402515433,4.838274025154332,5.555752610634168,4.523745480473631,0.7695159575154895,14,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-52.44002827093273,-63.39007355006962,0.026
crab,28,12,0.5,10933.636013778654,9.336360137786537,10.75422116723741,8.642957570762107,0.7831725850909425,14,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-47.24155971432948,-58.19160499346638,0.024
crab,28,12,1.0,11726.618789176347,17.266187891763487,19.993551845711632,15.903317137954554,0.80331358888665,14,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-38.002229035855265,-48.95227431499215,0.026
crab,28,20,0.25,10377.24370134257,3.772437013425689,4.328618479438284,5.380745005433714,0.5823506608597567,11,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-53.66716240212861,-64.6172076812655,0.026
crab,28,20,0.5,10724.386541781772,7.243865417817719,8.331991355509949,10.17969640678701,0.6028217522275865,11,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-49.663789526056945,-60.61383480519384,0.026
