regime,rsi_threshold,dip_multiplier,max_dip_buys_per_week,base_size_pct,smart_final_eq,smart_return_pct,smart_apr_pct,smart_dd_pct,smart_sharpe,smart_trades,smart_2x_buys,smart_weeks_sat,smart_cost_basis,smart_btc,smart_cash_left,dca_final_eq,dca_cost_basis,dca_btc,bh_final_eq,smart_vs_dca_pp,smart_vs_bh_pp,cb_improvement_pct,runtime_s
bull,45,1.5,5,0.015,45944.88928902594,359.4488928902594,1619.2886561336386,28.768713756626894,3.8782410522864517,65,4,0,13695.04971187928,0.7297527362263654,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-14.932240400082453,-21.226572908002762,-17.553348613282267,0.006
bull,45,2.0,2,0.005,27121.973075810267,171.21973075810266,543.1689148454305,23.50671074115152,3.299623159088447,188,12,5,23199.548980497693,0.4307842367281056,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-49.783196320824594,-53.498837373654126,-99.13652935554984,0.006
bull,45,2.0,2,0.01,39951.04997068964,299.5104997068964,1224.650026167834,28.76871375662689,3.657603643591491,97,3,1,15749.71229245864,0.6345512739801209,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-26.029937882935084,-31.50312971008623,-35.189828341282315,0.006
bull,45,2.0,2,0.015,45949.445153579996,359.49445153579995,1619.606692691297,28.76871375662689,3.8784580350530216,65,2,1,13693.691854535411,0.7298250980205856,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-14.923805137822566,-21.218761787552953,-17.54169325743698,0.006
bull,45,2.0,3,0.005,27457.8049387034,174.578049387034,558.1044608754667,23.6896963530801,3.311703582726957,183,17,5,22915.79914070555,0.43611832773693515,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-49.1613978004523,-52.923046960919336,-96.70092345868949,0.006
bull,45,2.0,3,0.01,40345.68768130252,303.4568768130252,1249.163174436843,28.7687137566269,3.6750923304805796,96,4,1,15595.657900053577,0.6408193911438431,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-25.299259315308255,-30.826515501068165,-33.86748121025355,0.006
bull,45,2.0,3,0.015,46353.56179195835,363.5356179195835,1647.9258657124678,28.768713756626894,3.8937077880494515,64,3,1,13574.30839174822,0.7362437710694212,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-14.175576170991466,-20.52589576822914,-16.516948834091785,0.006
bull,45,2.0,5,0.005,27868.929034818768,178.68929034818768,576.6048465815867,23.975805106962707,3.3241226990042474,178,22,2,22577.74391092929,0.4426483017712929,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-48.40019440405128,-52.21816651584137,-93.79917975476111,0.006
bull,45,2.0,5,0.01,40743.44675836373,307.43446758363734,1274.0810727879255,28.768713756626894,3.692823695327146,95,5,0,15443.404838861243,0.6471370856542883,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-24.56280148355089,-30.144549647152274,-32.56059605420648,0.006
bull,45,2.0,5,0.015,46737.60577839699,367.3760577839698,1675.0371747185777,28.7687137566269,3.907830815310092,63,4,0,13462.767986092182,0.7423436257925844,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-13.464512067459955,-19.867444710146607,-15.559526373684236,0.006
bull,45,3.0,2,0.005,27938.739162235037,179.38739162235038,579.7698902197989,23.93402625800235,3.325931933037483,177,12,5,22521.329225569247,0.44375711130999607,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-48.27093974202937,-52.09847566300865,-93.3149365198289,0.006
bull,45,3.0,2,0.01,40909.70810438461,309.09708104384606,1284.5593031144278,28.76871375662689,3.7002057434708036,94,3,1,15380.641221259699,0.6497778510161148,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-24.2549657169852,-29.859491260427173,-32.02185588346104,0.006
bull,45,3.0,2,0.015,46746.71750750511,367.46717507505116,1675.682761224454,28.768713756626884,3.908255711614271,63,2,1,13460.14386398318,0.7424883493810248,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-13.44764154294017,-19.85182246924696,-15.537001859529623,0.006
